,part_number,description,quantity,price,roi
39,0302-0711,190/55zr17tl (75w) supercorsa,1,603.99,-100.0
40,0302-0842,180/60r16 74h me888 marathon u,1,557.99,-100.0
41,0302-0847,190/50zr17 (73w) pilot road 4,1,454.99,-100.0
42,0302-0850,180/55zr17 (73w) pilot road 4 gt,6,471.99,-64.09
43,0302-0852,190/55zr17 (75w) pilot road 4,2,482.99,-100.0
44,0302-1007,190/55zr17 (75w) roadtec 01 (h,1,468.99,7.72
45,0302-1053,200/55zr17 (78w) diablo rosso,2,473.99,-100.0
46,0302-1092,150/70r17 69v roadtec 01 rear,5,351.99,-100.0
47,0302-1185,150/70zr17 (69w) road 5 rear,1,407.99,-100.0
48,0302-1211,180/55zr17 (73w) diablo rosso,1,383.99,13.67
49,0302-1212,180/60zr17 (75w) diablo rosso,1,391.99,-46.14
50,0302-1215,200/55zr17 (78w) diablo rosso,2,488.99,-100.0
51,0302-1217,180/55r17 73v scorpion rally s,1,525.99,-100.0
